Player Name,ETV
Kiernan Dewsbury-Hall,€24.9M
Julio Enciso,€24.9M
Edward Nketiah,€24.8M
Tyrick Mitchell,€24.6M
Claudio Echeverri,€24.4M
Jesper Lindstrøm,€24.4M
Marcus Tavernier,€24.4M
Tyler Adams,€24.4M
Beto,€24.4M
Orel Mangala,€24.4M
Tosin Adarabioyo,€24.3M
Virgil van Dijk,€24.3M
Alisson,€24.1M
Andrew Robertson,€24M
Victor Kristiansen,€23.9M
Mikey Moore,€23.7M
Konstantinos Tsimikas,€23.6M
Carlos Soler,€23.4M
Neco Williams,€23.4M
Tomáš Souček,€23.2M
James Garner,€23.2M
Takehiro Tomiyasu,€22.9M
Dean Henderson,€22.7M
Jordan Pickford,€22.6M
Mateus Fernandes,€22.5M
John McGinn,€22.5M
J. Philogene,€22.3M
Abdul Fatawu Issahaku,€21.9M
Kristoffer Ajer,€21.5M
Donyell Malen,€21.4M
Yasin Ayari,€21.4M
Chadi Riad,€21.4M
Reiss Nelson,€21.3M
Jean-Ricner Bellegarde,€21.3M
Sean Longstaff,€21.3M
Federico Chiesa,€21.2M
Caoimhin Kelleher,€20.9M
Fabio Carvalho,€20.6M
Marcos Senesi,€20.4M
Ben Chilwell,€20.4M
Wilfred Ndidi,€20.3M
Taiwo Awoniyi,€20.2M
Trevoh Chalobah,€20.1M
Kevin De Bruyne,€20.1M
Felipe Morato,€20M
Antonín Kinský,€20M
Oleksandr Zinchenko,€19.9M
Nathan Patterson,€19.9M
James McAtee,€19.8M
Mads Hermansen,€19.8M
Djed Spence,€19.8M
Jake O'Brien,€19.7M
Marco Asensio,€19.6M
Carlos Alcaraz,€19.6M
Dara O'Shea,€19.5M
Jack Clarke,€19.4M
Romain Esse,€19.4M
Lewis Cook,€19.3M
Ederson,€19.1M
Konstantinos Mavropanos,€19.1M
Andreas Pereira,€19M
Nicolás Domínguez,€18.8M
Ola Aina,€18.8M
Aaron Ramsdale,€18.7M
Toti Gomes,€18.6M
Armando Broja,€18.6M
Cameron Archer,€18.6M
Kamaldeen Sulemana,€18.5M
Ryan Yates,€18.3M
Marshall Munetsi,€18.3M
Yehor Yarmoliuk,€18M
Emmanuel Agbadou,€18M
Jacob Murphy,€17.9M
Issa Diop,€17.9M
Dominic Calvert-Lewin,€17.8M
Jack Harrison,€17.7M
Hee-chan Hwang,€17.6M
Raheem Sterling,€17.5M
Emiliano Martínez,€17.5M
Luke Shaw,€17.5M
Jota Silva,€17.4M
Ramón Sosa,€17.4M
Timothy Castagne,€17.4M
Kalvin Phillips,€17.2M
James Justin,€17M
Oliver Skipp,€17M
Mats Wieffer,€16.8M
Youssef Chermiti,€16.8M
Marc Guiu,€16.7M
Caleb Okoli,€16.7M
Kyle Walker-Peters,€16.6M
Albert Grønbæk,€16.6M
Enes Ünal,€16.4M
Gonçalo Guedes,€16.2M
Ryan Christie,€16.2M
Yukinari Sugawara,€15.7M
Chris Richards,€15.7M
Tyrique George,€15.7M
Matheus França,€15.5M
Jens Cajuste,€15.5M
Luis Sinisterra,€15.4M
Boubakary Soumaré,€15.4M
Armel Bella-Kotchap,€15.4M
Mathis Amougou,€15.3M
Thomas Partey,€15.2M
Nasser Djiga,€14.7M
Rico Henry,€14.7M
Mathias Jensen,€14.7M
Daichi Kamada,€14.6M
