Teams_or_players,Median_Req_Age,Mean_Req_Age,Std_Req_Age,Median_Pltime_matches_played,Mean_Pltime_matches_played,Std_Pltime_matches_played,Median_Pltime_starts,Mean_Pltime_starts,Std_Pltime_starts,Median_Pltime_minutes,Mean_Pltime_minutes,Std_Pltime_minutes,Median_Defen_Blocks,Mean_Defen_Blocks,Std_Defen_Blocks,Median_Defen_Int,Mean_Defen_Int,Std_Defen_Int,Median_Defen_Pass,Mean_Defen_Pass,Std_Defen_Pass,Median_Defen_Sh,Mean_Defen_Sh,Std_Defen_Sh,Median_Defen_Tkl,Mean_Defen_Tkl,Std_Defen_Tkl,Median_Defen_TklW,Mean_Defen_TklW,Std_Defen_TklW,Median_Exp_xAG,Mean_Exp_xAG,Std_Exp_xAG,Median_Exp_xG,Mean_Exp_xG,Std_Exp_xG,Median_GK_CSPct,Mean_GK_CSPct,Std_GK_CSPct,Median_GK_GA90,Mean_GK_GA90,Std_GK_GA90,Median_GK_PK_SavePct,Mean_GK_PK_SavePct,Std_GK_PK_SavePct,Median_GK_SavePct,Mean_GK_SavePct,Std_GK_SavePct,Median_GnS_GCA,Mean_GnS_GCA,Std_GnS_GCA,Median_GnS_GCA90,Mean_GnS_GCA90,Std_GnS_GCA90,Median_GnS_SCA,Mean_GnS_SCA,Std_GnS_SCA,Median_GnS_SCA90,Mean_GnS_SCA90,Std_GnS_SCA90,Median_Misc_Crs,Mean_Misc_Crs,Std_Misc_Crs,Median_Misc_Fld,Mean_Misc_Fld,Std_Misc_Fld,Median_Misc_Fls,Mean_Misc_Fls,Std_Misc_Fls,Median_Misc_Lost,Mean_Misc_Lost,Std_Misc_Lost,Median_Misc_Off,Mean_Misc_Off,Std_Misc_Off,Median_Misc_Recov,Mean_Misc_Recov,Std_Misc_Recov,Median_Misc_Won,Mean_Misc_Won,Std_Misc_Won,Median_Misc_WonPct,Mean_Misc_WonPct,Std_Misc_WonPct,Median_Pass_1Per3,Mean_Pass_1Per3,Std_Pass_1Per3,Median_Pass_Cmp,Mean_Pass_Cmp,Std_Pass_Cmp,Median_Pass_CmpPct,Mean_Pass_CmpPct,Std_Pass_CmpPct,Median_Pass_CrsPA,Mean_Pass_CrsPA,Std_Pass_CrsPA,Median_Pass_KP,Mean_Pass_KP,Std_Pass_KP,Median_Pass_PPA,Mean_Pass_PPA,Std_Pass_PPA,Median_Pass_PrgP,Mean_Pass_PrgP,Std_Pass_PrgP,Median_Pass_TotDist,Mean_Pass_TotDist,Std_Pass_TotDist,Median_Pass_cpt_long,Mean_Pass_cpt_long,Std_Pass_cpt_long,Median_Pass_cpt_medium,Mean_Pass_cpt_medium,Std_Pass_cpt_medium,Median_Pass_cpt_short,Mean_Pass_cpt_short,Std_Pass_cpt_short,Median_Perf_assists,Mean_Perf_assists,Std_Perf_assists,Median_Perf_goals,Mean_Perf_goals,Std_Perf_goals,Median_Perf_red_cards,Mean_Perf_red_cards,Std_Perf_red_cards,Median_Perf_yellow_cards,Mean_Perf_yellow_cards,Std_Perf_yellow_cards,Median_Poss_1Per3,Mean_Poss_1Per3,Std_Poss_1Per3,Median_Poss_Att,Mean_Poss_Att,Std_Poss_Att,Median_Poss_Att_3rd,Mean_Poss_Att_3rd,Std_Poss_Att_3rd,Median_Poss_Att_Pen,Mean_Poss_Att_Pen,Std_Poss_Att_Pen,Median_Poss_CPA,Mean_Poss_CPA,Std_Poss_CPA,Median_Poss_Carries,Mean_Poss_Carries,Std_Poss_Carries,Median_Poss_Def_3rd,Mean_Poss_Def_3rd,Std_Poss_Def_3rd,Median_Poss_Def_Pen,Mean_Poss_Def_Pen,Std_Poss_Def_Pen,Median_Poss_Dis,Mean_Poss_Dis,Std_Poss_Dis,Median_Poss_Mid_3rd,Mean_Poss_Mid_3rd,Std_Poss_Mid_3rd,Median_Poss_Mis,Mean_Poss_Mis,Std_Poss_Mis,Median_Poss_PrgC,Mean_Poss_PrgC,Std_Poss_PrgC,Median_Poss_PrgDist,Mean_Poss_PrgDist,Std_Poss_PrgDist,Median_Poss_PrgR,Mean_Poss_PrgR,Std_Poss_PrgR,Median_Poss_Rec,Mean_Poss_Rec,Std_Poss_Rec,Median_Poss_SuccPct,Mean_Poss_SuccPct,Std_Poss_SuccPct,Median_Poss_TkldPct,Mean_Poss_TkldPct,Std_Poss_TkldPct,Median_Poss_touches,Mean_Poss_touches,Std_Poss_touches,Median_Prog_PrgC,Mean_Prog_PrgC,Std_Prog_PrgC,Median_Prog_PrgP,Mean_Prog_PrgP,Std_Prog_PrgP,Median_Prog_PrgR,Mean_Prog_PrgR,Std_Prog_PrgR,Median_Shoot_Dist,Mean_Shoot_Dist,Std_Shoot_Dist,Median_Shoot_GPerSh,Mean_Shoot_GPerSh,Std_Shoot_GPerSh,Median_Shoot_SoTPct,Mean_Shoot_SoTPct,Std_Shoot_SoTPct,Median_Shoot_SoTPer90,Mean_Shoot_SoTPer90,Std_Shoot_SoTPer90,Median_per90_Ast,Mean_per90_Ast,Std_per90_Ast,Median_per90_Gls,Mean_per90_Gls,Std_per90_Gls,Median_per90_xG,Mean_per90_xG,Std_per90_xG,Median_per90_xGA,Mean_per90_xGA,Std_per90_xGA
Ipswich Town,26.0,26.5,3.1045,18.5,18.2,9.0149,11.5,12.8333,9.685,984.5,1146.7667,798.9913,8.0,13.4333,13.9573,6.5,9.6667,9.4407,6.5,7.6667,7.5628,2.0,5.7667,9.6264,12.5,18.4,16.5813,8.0,10.5,9.475,0.4,0.71,0.9714,0.6,1.07,1.7597,5.6,7.4333,8.4996,2.45,2.3167,0.4356,0.0,0.0,0.0,58.7,62.1,6.8637,1.0,1.8667,2.08,0.11,0.1413,0.1605,13.0,19.1667,21.0911,1.395,1.5193,1.2287,6.5,15.1333,28.7555,9.0,12.2667,11.7794,8.5,13.4,14.7639,14.5,16.7667,18.1938,0.5,1.5,2.7761,39.5,44.3,35.8071,7.0,16.8333,22.6899,50.0,52.1367,26.4721,18.0,26.2667,28.8515,226.0,347.0667,310.1868,75.7,75.1133,8.1365,0.0,1.5,2.8376,4.5,8.2667,11.0826,4.0,4.9,5.9848,20.0,27.6667,25.7727,4256.5,6204.0,5602.858,50.0,48.5214,13.2522,84.4,81.5867,10.9448,87.0,87.1433,7.355,0.0,0.8333,1.0854,0.0,1.1333,2.3154,0.0,0.1667,0.379,2.0,2.9667,2.6455,6.5,9.9667,11.0718,102.5,119.4667,122.4336,102.5,119.4667,122.4336,11.5,17.7667,21.3827,1.5,4.4333,7.655,224.0,285.9333,222.5434,127.5,238.9,253.52,28.0,93.5667,133.9907,5.0,10.6333,14.3779,163.0,228.1667,214.5089,11.0,16.7333,21.0056,9.0,15.0667,18.268,597.5,780.4,623.8107,14.5,27.2333,35.3706,255.0,343.7,282.961,45.4,44.3045,11.7137,43.35,45.2545,8.9857,438.5,580.0667,467.2064,9.0,15.0667,18.268,20.0,27.6667,25.7727,14.5,27.2333,35.3706,16.2,16.5667,5.2879,0.075,0.0738,0.0798,22.85,28.7542,24.4961,0.085,0.2987,0.4006,0.0,0.0677,0.1036,0.0,0.0917,0.1509,0.04,0.0913,0.1144,0.03,0.057,0.0582
Leicester City,26.0,26.6923,4.5057,21.5,20.2308,9.7172,15.0,14.8077,9.968,1408.0,1329.1923,824.5063,16.5,17.7308,14.0016,9.5,11.7692,11.9073,9.0,10.9615,8.6555,4.0,6.7692,8.1991,21.5,25.8462,22.301,12.0,15.0769,13.532,0.4,0.9192,1.1405,0.4,1.1846,2.1716,3.7,6.0,7.4223,2.19,2.6333,1.2077,25.0,25.0,,61.3,55.2667,13.3178,1.0,1.9231,2.3651,0.105,0.1242,0.1428,15.5,20.8846,18.8177,1.325,1.3635,0.9828,9.5,22.6154,27.9658,12.0,13.4615,11.9037,13.5,14.4615,10.882,15.5,20.0385,17.8628,1.0,2.2692,4.9117,42.0,53.0,37.7285,12.0,17.9231,16.9657,50.0,49.2083,19.7493,24.5,34.8077,31.72,424.0,499.6923,371.7057,77.7,78.1115,8.3948,1.0,2.4615,4.0123,6.5,9.0385,9.3316,5.5,7.6923,8.4464,30.5,38.8462,34.9591,6483.0,8378.4615,6446.1217,53.2,55.0577,17.7516,83.0,84.3885,9.0714,89.05,88.7808,6.9812,0.0,0.8462,1.1897,0.0,1.1154,2.0065,0.0,0.0,0.0,2.0,3.1154,2.6431,8.0,13.1923,12.4419,104.0,146.1538,134.9645,104.0,146.1538,134.9645,15.5,22.4231,24.6255,2.5,5.0385,6.2768,445.0,440.8846,286.6085,149.0,284.0769,284.7115,34.0,101.4615,167.5229,9.0,11.6154,13.0509,325.5,353.6154,278.4137,13.0,17.2692,15.7596,15.0,21.0385,22.9756,1080.5,1097.0385,748.8048,20.0,38.2692,40.6394,478.5,495.2692,329.8465,41.3,43.5583,28.1803,48.55,48.3042,25.4504,756.0,776.4231,523.4231,15.0,21.0385,22.9756,30.5,38.8462,34.9591,20.0,38.2692,40.6394,16.9,17.8091,5.8144,0.0,0.0564,0.0723,32.9,34.2409,22.9628,0.215,0.275,0.273,0.0,0.0565,0.0857,0.0,0.0612,0.0978,0.045,0.0677,0.0859,0.025,0.0669,0.0813
Liverpool,26.0,26.6667,3.6652,28.0,25.1905,8.9254,20.0,18.3333,11.922,1717.0,1643.0952,977.499,9.0,15.9524,14.7969,7.0,13.0952,15.9528,9.0,11.7619,12.8798,2.0,4.1905,4.7183,26.0,28.4762,23.9324,16.0,17.619,14.6679,1.2,2.6762,3.1846,1.7,3.6762,5.514,38.0,38.0,2.8284,1.06,1.06,0.198,50.0,50.0,70.7107,69.5,69.5,2.687,4.0,6.5238,6.6304,0.32,0.3286,0.2382,35.0,50.8095,45.6318,2.54,2.6233,1.5061,6.0,32.0952,45.268,12.0,15.6667,13.5474,16.0,19.0476,16.4787,12.0,16.2857,13.1269,1.0,2.619,4.3986,66.0,70.7143,48.991,9.0,18.0952,26.1341,42.9,50.2238,21.816,41.0,69.5714,71.3075,681.0,807.1429,634.1774,83.8,82.9429,7.5456,1.0,3.7143,5.9594,12.0,22.4286,22.8091,8.0,19.0476,23.2368,71.0,83.9524,68.3999,11124.0,13712.9524,11314.6365,60.8,60.2762,15.2503,88.3,86.7905,9.5737,91.7,91.2952,5.9198,2.0,2.8571,3.9911,1.0,3.8095,6.4932,0.0,0.0952,0.3008,3.0,3.0476,2.2688,19.0,24.2857,21.1852,218.0,321.2381,285.0821,218.0,321.2381,285.0821,44.0,57.381,73.4884,6.0,14.0476,26.1753,550.0,655.0,456.142,187.0,314.619,329.937,32.0,102.3333,159.9029,11.0,14.9524,16.1693,307.0,513.4762,469.2663,19.0,23.0476,25.3288,24.0,35.6667,36.5162,1598.0,1773.381,1235.2182,54.0,83.0476,111.0079,606.0,798.2381,570.0718,49.0,54.8,20.7549,44.35,38.22,18.6735,860.0,1139.4286,817.5649,24.0,35.6667,36.5162,71.0,83.9524,68.3999,54.0,83.0476,111.0079,14.6,15.4889,4.0289,0.075,0.0756,0.0704,32.8,31.4944,15.1569,0.35,0.4843,0.4351,0.16,0.139,0.1319,0.04,0.1652,0.2318,0.07,0.1843,0.2071,0.11,0.1305,0.1094
Manchester City,26.0,26.44,4.8052,23.0,19.88,8.9737,17.0,15.36,8.6259,1494.0,1381.36,766.2823,11.0,12.44,9.6007,5.0,8.2,8.5829,9.0,9.16,7.0986,1.0,3.28,4.8177,15.0,18.44,17.0589,7.0,11.2,10.8896,1.5,2.028,2.2494,1.3,2.52,4.1754,29.9,29.9,6.9296,1.285,1.285,0.2616,0.0,0.0,0.0,68.25,68.25,0.3536,3.0,4.64,4.5541,0.26,0.2756,0.2381,33.0,39.76,33.9353,2.08,2.3836,1.7463,8.0,23.6,32.2477,12.0,13.88,11.4721,11.0,10.64,8.1847,8.0,11.96,11.1186,0.0,1.68,2.4617,46.0,53.0,35.2905,5.0,11.12,13.4886,47.3,45.18,20.9399,42.0,62.0,64.9455,676.0,793.52,591.8991,87.7,86.504,6.9568,1.0,2.32,3.1718,9.0,17.24,16.8456,11.0,15.88,16.2027,64.0,70.28,60.4218,10078.0,12871.28,9746.2289,64.3,59.776,12.4088,91.9,89.516,7.834,94.4,92.128,6.1261,0.0,1.92,2.5645,1.0,2.64,4.4147,0.0,0.04,0.2,2.0,2.32,1.7493,23.0,31.16,27.5495,324.0,353.4,278.8552,324.0,353.4,278.8552,22.0,48.52,51.76,3.0,14.48,23.3686,590.0,664.68,466.3453,197.0,241.56,242.9105,39.0,78.52,139.2914,13.0,14.88,14.5095,331.0,447.28,395.8675,14.0,17.4,15.1245,35.0,41.64,45.4422,1714.0,2051.96,1583.709,26.0,69.6,78.2176,630.0,783.04,543.7994,45.7,47.8957,26.4137,36.1,37.5609,23.6578,892.0,1033.8,699.0406,35.0,41.64,45.4422,64.0,70.28,60.4218,26.0,69.6,78.2176,17.85,17.0273,4.8395,0.105,0.1327,0.2103,32.05,31.45,21.1804,0.33,0.4636,0.5137,0.0,0.102,0.1414,0.06,0.1784,0.2456,0.07,0.1608,0.2178,0.07,0.1164,0.122
Manchester United,25.0,25.0667,5.1121,20.0,17.6667,11.4541,11.5,12.8333,10.7802,1071.0,1149.6667,931.0153,8.0,11.6,11.1806,5.0,11.4667,12.7218,6.0,8.3333,8.6676,1.0,3.2667,4.7846,13.0,25.1,27.8225,8.5,15.1333,17.0106,0.35,1.2,1.7076,0.7,1.6033,2.2677,13.65,13.65,19.304,2.65,2.65,1.9092,25.0,25.0,,51.15,51.15,25.2437,0.5,2.2,3.9164,0.015,0.117,0.2071,14.5,28.2667,35.9424,1.83,2.1653,1.441,6.0,19.0333,35.1965,7.0,11.3,11.5673,9.0,12.5333,11.667,10.0,15.1667,17.605,0.5,2.0667,3.1616,31.5,53.1,51.3348,8.5,14.6333,15.9795,50.0,48.2724,21.3428,18.0,33.9333,39.7778,286.0,512.8667,464.7707,82.6,81.9467,7.5975,1.0,2.2,2.929,6.0,12.2,17.3074,5.0,9.9333,14.6944,22.0,43.2,55.7509,3685.5,8413.7667,8136.4066,54.85,57.9067,18.4361,86.55,84.8733,8.8639,90.9,90.26,4.8779,0.0,0.9333,1.9989,0.0,1.3333,2.2642,0.0,0.1,0.4026,2.0,2.6,2.4719,9.5,14.8,18.1629,78.0,177.8667,219.1376,78.0,177.8667,219.1376,17.0,29.0333,37.5284,1.0,7.0,15.2519,310.0,461.8333,401.0442,126.5,265.8333,314.0137,22.5,79.2,182.869,4.5,11.0667,13.8014,206.0,319.6,307.2098,9.5,15.7,17.765,10.0,21.0667,31.189,744.5,1155.9333,1107.4359,14.5,42.7,64.3258,385.0,508.0,438.9121,46.9,47.6778,28.7612,50.0,46.7667,27.1357,517.0,756.2667,662.1173,10.0,21.0667,31.189,22.0,43.2,55.7509,14.5,42.7,64.3258,16.05,15.8,5.3707,0.02,0.0537,0.0686,26.8,26.4542,16.5213,0.185,0.366,0.4584,0.0,0.044,0.0853,0.0,0.0743,0.1171,0.06,0.1267,0.161,0.06,0.081,0.0874
Newcastle United,27.0,27.5217,4.7278,27.0,23.2174,10.1442,14.0,16.7391,12.5887,1503.0,1502.8696,1050.9113,17.0,17.1304,14.1944,6.0,11.0435,11.8455,9.0,11.4783,10.2906,3.0,5.6522,7.1897,22.0,24.4348,22.0224,15.0,14.9565,13.693,0.9,1.8826,2.2775,0.5,2.6348,4.437,39.0,39.0,15.5563,1.26,1.26,0.0849,50.0,50.0,,70.4,70.4,0.4243,3.0,4.8261,5.3822,0.23,0.2217,0.2113,32.0,37.1304,35.9435,1.89,2.0639,1.3871,10.0,27.5217,39.3549,11.0,18.2174,24.0963,9.0,15.8261,16.9428,14.0,18.4348,19.6996,2.0,3.087,4.3161,49.0,66.5217,58.2377,7.0,19.3043,29.007,50.0,49.5217,24.045,26.0,45.6087,48.6076,479.0,616.8696,528.1401,81.8,79.713,6.8268,0.0,2.8261,4.6579,8.0,15.8261,16.5877,8.0,15.4783,18.7735,59.0,63.1739,62.6503,6849.0,10418.6522,9383.7411,52.3,54.2619,12.6489,86.8,85.2957,11.2003,88.6,87.7348,7.6141,1.0,2.087,2.8431,0.0,2.7826,5.187,0.0,0.0435,0.2085,2.0,2.6087,3.0262,14.0,18.4348,17.4508,133.0,243.1304,228.0706,133.0,243.1304,228.0706,33.0,43.0,46.8877,4.0,10.7391,15.9152,498.0,525.5217,429.8606,122.0,301.7391,343.436,26.0,91.7391,145.6213,8.0,17.9565,20.319,232.0,387.8261,354.6575,11.0,19.1304,17.6746,14.0,29.8261,33.4401,1519.0,1429.9565,1147.037,22.0,62.6957,71.5856,567.0,612.3043,506.4,45.3,43.0714,16.9403,46.9,44.981,16.6982,773.0,923.6522,736.1552,14.0,29.8261,33.4401,59.0,63.1739,62.6503,22.0,62.6957,71.5856,15.0,15.6381,3.64,0.05,0.0848,0.1074,25.6,23.5952,16.4163,0.3,0.383,0.4078,0.04,0.103,0.1268,0.0,0.1609,0.2581,0.12,0.143,0.162,0.08,0.0974,0.0903
Nottingham Forest,26.5,26.7727,3.598,30.0,24.5,10.888,19.0,17.5,13.3014,1804.0,1572.6818,1104.9251,11.0,18.2727,18.0322,11.0,13.5,11.3421,8.5,11.4545,10.5728,3.5,6.8182,10.0647,20.5,28.7273,25.9417,13.0,17.3182,16.019,1.1,1.4091,1.4319,1.4,1.9227,2.6047,37.1,37.1,,1.2,1.2,,0.0,0.0,,74.3,74.3,,2.0,3.8182,4.876,0.155,0.2109,0.2206,23.5,33.3636,32.4295,1.755,1.8891,1.2752,6.5,24.5455,37.8515,10.0,17.4091,17.1483,12.0,16.9545,14.0458,19.0,23.3636,27.2756,1.0,3.7727,6.3014,47.0,66.3182,54.882,13.5,24.1364,26.8049,44.3,50.4227,20.815,27.0,39.8182,38.3252,390.0,443.8636,344.0947,76.85,73.8591,8.5465,1.0,2.5455,3.5554,10.0,14.1364,15.1258,7.0,9.9545,10.7059,35.0,45.9545,43.8477,5741.5,7599.0455,6391.096,42.3,44.8955,15.6442,81.65,77.9364,11.8444,88.05,86.2727,7.7672,1.0,1.7727,2.4868,1.0,2.4091,4.1594,0.0,0.0909,0.2942,3.0,3.7273,3.2394,10.5,16.5,17.8239,127.0,210.8636,207.4536,127.0,210.8636,207.4536,21.0,32.4545,32.1258,2.0,7.9091,12.7014,369.5,359.6364,275.2719,154.0,271.2727,291.7609,35.0,104.8636,177.0508,10.0,13.3636,13.4254,246.0,314.9091,266.4136,18.0,23.6818,24.084,13.0,26.1818,33.9518,834.5,1099.4091,1012.9616,18.5,45.5909,58.0613,452.0,440.3182,334.7605,45.0,49.3389,24.3822,39.1,39.2889,21.9448,849.0,787.0,571.4851,13.0,26.1818,33.9518,35.0,45.9545,43.8477,18.5,45.5909,58.0613,18.8,19.125,6.3517,0.07,0.0785,0.081,36.45,39.045,26.1034,0.265,0.4236,0.4015,0.055,0.0905,0.105,0.065,0.1173,0.1585,0.07,0.1105,0.1312,0.065,0.085,0.085
Southampton,26.0,26.4828,4.1886,20.0,18.6552,10.3795,13.0,13.2414,9.8404,1178.0,1184.3103,856.2373,8.0,13.3793,14.915,5.0,9.6207,12.2632,5.0,7.4828,8.0028,2.0,5.8966,9.1353,13.0,20.4138,19.7295,7.0,11.8276,11.3139,0.5,0.8103,0.9221,0.5,1.0724,1.3879,0.0,2.4667,4.2724,2.33,2.41,0.1652,14.3,14.3,20.2233,67.1,67.4667,2.669,1.0,1.3793,1.8787,0.06,0.1076,0.1403,15.0,20.0345,20.1255,1.37,1.4059,0.8521,6.0,17.6207,26.8586,8.0,13.6552,15.7645,12.0,14.7586,13.4288,8.0,12.6552,13.7432,0.0,1.5172,2.6271,23.0,46.0,44.2606,8.0,14.6207,20.9172,54.5,54.4517,22.8021,13.0,32.2414,39.4839,257.0,499.7931,481.2135,80.2,80.8517,8.1607,1.0,1.8621,2.6012,5.0,8.8276,9.4494,5.0,7.0,7.7644,24.0,36.4483,39.4576,4218.0,8476.6207,8576.5827,55.25,53.6964,17.1269,89.5,85.3621,10.849,90.9,89.5966,7.0819,0.0,0.5172,0.829,0.0,0.8276,1.0713,0.0,0.1034,0.4093,2.0,2.8621,2.9487,9.0,15.2414,18.7952,131.0,154.3448,149.2857,131.0,154.3448,149.2857,15.0,21.8621,20.8647,1.0,5.1034,7.5892,253.0,406.8966,363.2548,161.0,265.3448,322.2261,42.0,93.6552,170.6394,5.0,11.1379,13.7652,198.0,313.4138,308.402,10.0,14.931,15.0284,10.0,20.6207,26.9105,599.0,1101.3448,1119.563,20.0,35.3448,38.7061,349.0,494.3448,436.3488,43.35,47.3846,27.4907,44.95,42.8885,27.787,457.0,726.7931,636.2734,10.0,20.6207,26.9105,24.0,36.4483,39.4576,20.0,35.3448,38.7061,18.1,17.312,6.0873,0.05,0.0704,0.0965,30.0,25.888,22.6141,0.14,0.2159,0.2865,0.0,0.0431,0.0972,0.0,0.0514,0.0764,0.04,0.0776,0.0896,0.03,0.0545,0.0587
Tottenham Hotspur,25.0,25.2222,4.5263,22.0,19.3333,9.2321,16.0,14.2222,8.0924,1300.0,1277.7778,694.5651,15.0,15.1481,12.2497,10.0,10.7778,10.8249,9.0,9.8889,9.3288,5.0,5.2593,5.23,14.0,22.8519,20.7767,9.0,14.4815,14.001,0.9,1.5815,2.0201,0.7,2.1,2.9091,17.4,18.9,5.5055,1.75,1.7733,0.3556,0.0,0.0,,64.9,63.4,6.4815,2.0,3.8148,4.5996,0.19,0.2496,0.2483,18.0,31.3704,36.5178,1.57,1.9548,1.5126,13.0,26.8519,42.5773,11.0,16.963,15.2983,10.0,15.0741,13.2198,11.0,14.9259,14.1664,1.0,2.1852,3.187,59.0,57.6667,41.0169,9.0,14.6296,14.0798,51.4,51.0704,23.3917,39.0,45.1111,39.4903,703.0,581.1111,373.3527,84.8,80.4704,8.376,1.0,3.037,5.1177,7.0,13.5185,17.6904,8.0,13.3704,16.639,49.0,56.9259,47.1331,10567.0,9644.8519,6442.9429,55.6,54.4296,14.8176,89.8,84.4407,11.1162,91.0,89.2111,6.8975,1.0,1.7037,2.3829,1.0,2.2222,3.2502,0.0,0.037,0.1925,2.0,2.4444,2.326,18.0,19.8519,17.0558,168.0,222.3333,227.9909,168.0,222.3333,227.9909,24.0,35.8889,42.5082,4.0,8.7037,12.0058,588.0,528.1481,309.8133,228.0,275.1852,231.3053,60.0,86.3333,119.4033,11.0,14.7407,16.3862,393.0,358.7037,259.8236,16.0,18.4074,18.2109,18.0,29.5185,29.1236,1526.0,1462.7407,859.131,31.0,56.5185,69.3033,629.0,576.4074,339.1684,42.15,44.3,25.4629,48.55,42.6269,24.1807,892.0,847.9259,515.9539,18.0,29.5185,29.1236,49.0,56.9259,47.1331,31.0,56.5185,69.3033,16.9,16.4083,5.0732,0.055,0.0746,0.0809,34.15,32.9125,19.2558,0.29,0.4019,0.3958,0.07,0.1178,0.1505,0.06,0.1348,0.1936,0.06,0.1407,0.1712,0.08,0.1067,0.1108
West Ham United,28.0,28.16,5.0964,20.0,21.56,8.5298,14.0,15.4,10.8628,1070.0,1381.52,914.3885,14.0,16.64,13.4098,8.0,12.24,14.7741,9.0,10.36,8.0409,4.0,6.28,8.2286,17.0,23.6,20.8167,11.0,14.0,12.3288,1.1,1.26,1.4036,1.2,1.776,2.2549,17.05,17.05,0.495,1.685,1.685,0.0071,0.0,0.0,,68.75,68.75,8.2731,1.0,2.28,3.1953,0.1,0.1344,0.1664,19.0,30.16,30.7648,2.31,2.1908,1.484,13.0,22.4,27.5197,11.0,15.12,17.6784,15.0,16.28,14.261,12.0,20.84,19.4844,1.0,2.8,4.2817,43.0,57.16,47.9676,10.0,21.68,27.4252,50.0,51.14,16.7432,37.0,39.32,33.5345,517.0,533.44,408.4354,79.9,78.42,7.805,1.0,2.6,3.5824,9.0,12.2,12.3828,4.0,10.0,12.6951,31.0,45.0,41.3118,8610.0,9381.76,7369.5928,53.7,54.144,15.9062,85.6,83.252,10.6247,89.7,88.676,6.9679,1.0,0.96,1.5133,0.0,1.48,2.6,0.0,0.12,0.3317,2.0,2.96,2.6533,10.0,14.56,16.6185,118.0,178.52,184.7341,118.0,178.52,184.7341,23.0,30.88,38.8601,2.0,6.48,13.166,321.0,421.8,318.0883,196.0,304.12,314.9535,39.0,107.88,177.8879,6.0,14.68,22.2537,366.0,355.88,288.7511,12.0,18.28,19.6882,11.0,22.92,30.3698,714.0,1077.4,937.0678,25.0,44.64,57.7912,459.0,529.56,390.6218,47.6,49.4,20.5144,45.7,38.7875,20.9956,668.0,830.56,599.2431,11.0,22.92,30.3698,31.0,45.0,41.3118,25.0,44.64,57.7912,16.7,17.7913,5.5917,0.0,0.047,0.0618,26.9,23.7913,13.9695,0.23,0.3836,0.4092,0.03,0.0744,0.1364,0.0,0.084,0.1253,0.07,0.1372,0.1592,0.08,0.1008,0.0972
Wolverhampton Wanderers,26.0,27.1739,4.0525,26.0,22.7826,8.9237,15.0,16.6522,10.9071,1364.0,1495.2174,875.6225,16.0,18.0435,12.6076,9.0,12.087,9.83,10.0,12.1739,10.4431,4.0,5.8696,6.0476,21.0,32.087,28.1956,13.0,18.913,17.5808,0.9,1.4,1.7794,0.8,1.7609,2.4799,12.95,12.95,18.3141,2.05,2.05,0.5374,16.65,16.65,23.5467,61.75,61.75,0.3536,3.0,3.913,4.1441,0.18,0.2526,0.24,21.0,29.5217,28.0468,1.71,1.7804,1.0607,10.0,21.6522,30.6929,10.0,16.913,17.0851,15.0,19.7826,17.5031,16.0,19.0435,19.6711,1.0,2.5217,3.3148,43.0,65.6087,50.6949,10.0,17.7391,17.5324,40.7,46.1565,23.2017,26.0,39.2609,33.2541,484.0,563.5652,411.401,80.4,77.8435,8.7184,1.0,2.7826,3.4897,10.0,12.3913,12.4781,4.0,10.8261,12.6802,31.0,45.913,41.0985,9479.0,9615.913,6491.2173,56.0,52.4522,15.7218,86.5,84.8435,9.3796,90.4,88.3304,6.9247,1.0,1.6957,2.2245,1.0,2.1739,3.9388,0.0,0.087,0.2881,2.0,3.2174,2.7462,13.0,17.913,21.8339,124.0,181.7391,186.2923,124.0,181.7391,186.2923,23.0,28.3043,31.8483,3.0,5.6957,8.6887,390.0,480.6087,307.3461,304.0,311.087,256.9119,59.0,103.4348,151.4526,11.0,14.4348,15.2876,329.0,393.6522,316.276,16.0,23.0435,22.7406,12.0,23.5652,27.7895,1038.0,1328.6957,911.0665,28.0,45.2609,47.7619,482.0,559.2174,370.7579,45.6,44.1381,22.4345,41.7,42.9524,22.9816,756.0,875.8261,572.2618,12.0,23.5652,27.7895,31.0,45.913,41.0985,28.0,45.2609,47.7619,18.1,18.0476,5.6709,0.07,0.0981,0.1178,28.6,30.5905,17.0213,0.23,0.3496,0.4017,0.04,0.1004,0.1303,0.07,0.1222,0.167,0.08,0.1113,0.1172,0.07,0.0796,0.0761
